Entity,Code,Year,consumption,GDPperCapita,Population,Continent,deaths
Afghanistan,AFG,2018,0.21,2060.699,36686788,,3.9000018
Albania,ALB,2018,7.17,13319.495,2877019,,18.455585
Algeria,DZA,2018,0.95,11725.878,41927008,,3.336246
American Samoa,ASM,2018,,,48445,,3.8999245
Andorra,AND,2018,11.02,,75034,,29.049688
Angola,AGO,2018,6.94,6878.5933,31273538,,95.21208
Anguilla,AIA,2018,,,15201,,
Antigua and Barbuda,ATG,2018,6.38,22085.262,91644,,27.33319
Argentina,ARG,2018,9.65,22747.242,44413592,,39.876892
Armenia,ARM,2018,5.55,13231.431,2836563,,20.390516
Aruba,ABW,2018,,40706.75,105980,,
Australia,AUS,2018,10.51,49052.816,24979228,,22.7738
Austria,AUT,2018,11.96,55217.285,8840518,,30.650623
Azerbaijan,AZE,2018,4.41,14209.593,10152524,,44.47816
Bahamas,BHS,2018,4.78,34735.125,401911,,33.530075
Bahrain,BHR,2018,1.09,48937.66,1487346,,5.011838
Bangladesh,BGD,2018,0.019,5124.4985,163683952,,7.876816
Barbados,BRB,2018,9.69,16003.857,279702,,26.75161
Belarus,BLR,2018,11.45,18974.7,9695573,,70.51486
Belgium,BEL,2018,11.08,51113.48,11448598,,34.27691
Belize,BLZ,2018,6.22,8798.538,382076,,37.028236
Benin,BEN,2018,2.81,3040.1675,11940688,,34.54664
Bermuda,BMU,2018,,81423.41,63591,,18.644474
Bhutan,BTN,2018,0.43,11233.78,762104,,13.935927
Bolivia,BOL,2018,4.43,8466.293,11606906,,32.187653
Bonaire Sint Eustatius and Saba,BES,2018,,,24995,,
Bosnia and Herzegovina,BIH,2018,7.15,14066.845,3400132,,22.912922
Botswana,BWA,2018,6.59,14962.081,2451411,,60.58904
Brazil,BRA,2018,7.42,14619.591,210166592,,32.303013
British Virgin Islands,VGB,2018,,,30359,,
Brunei,BRN,2018,0.48,59650.23,434283,,3.8417606
Bulgaria,BGR,2018,12.65,22210.123,7117424,,63.022884
Burkina Faso,BFA,2018,12.03,2051.2185,20392730,,70.89541
Burundi,BDI,2018,7.19,740.44824,11493476,,102.09523
