Entity,Code,Year,consumption
Seychelles,SYC,2018,20.5
Moldova,MDA,2005,19.95
Seychelles,SYC,2015,18.35
Romania,ROU,2000,17.45
Belarus,BLR,2010,17.43
Russia,RUS,2005,17.36
Lithuania,LTU,2005,16.1
Russia,RUS,2010,15.87
Romania,ROU,2005,15.84
Russia,RUS,2000,15.73
Estonia,EST,2005,15.65
Moldova,MDA,2010,15.54
Lithuania,LTU,2015,15.38
Belarus,BLR,2005,15.3
Lithuania,LTU,2010,15.25
Belarus,BLR,2000,15.17
Uganda,UGA,2015,15.14
Ireland,IRL,2000,15.13
Uganda,UGA,2018,15.09
Montenegro,MNE,2010,15.07
Czechia,CZE,2000,15
Czechia,CZE,2005,14.76
Hungary,HUN,2005,14.56
Czechia,CZE,2018,14.45
Luxembourg,LUX,2000,14.32
Hungary,HUN,2000,14.27
Czechia,CZE,2015,14.25
Ireland,IRL,2005,14.2
Germany,DEU,2000,14.16
France,FRA,2000,14.08
Portugal,PRT,2000,14.08
Czechia,CZE,2010,14.06
Romania,ROU,2010,13.97
Moldova,MDA,2000,13.89
United Kingdom,GBR,2005,13.89
Rwanda,RWA,2000,13.73
United Kingdom,GBR,2000,13.73
Uganda,UGA,2000,13.61
Luxembourg,LUX,2005,13.58
Ukraine,UKR,2010,13.57
Uganda,UGA,2010,13.5
Portugal,PRT,2005,13.37
Lithuania,LTU,2000,13.36
Andorra,AND,2000,13.28
Germany,DEU,2005,13.28
Lithuania,LTU,2018,13.22
Luxembourg,LUX,2015,13.18
Belgium,BEL,2005,13.13
Austria,AUT,2000,13.12
Finland,FIN,2005,13.11
France,FRA,2005,13.09
Germany,DEU,2015,13.06
Rwanda,RWA,2005,13
Luxembourg,LUX,2010,12.98
Luxembourg,LUX,2018,12.94
Uganda,UGA,2005,12.92
Germany,DEU,2018,12.91
Ireland,IRL,2018,12.88
Spain,ESP,2005,12.83
Austria,AUT,2005,12.79
Latvia,LVA,2018,12.77
Slovenia,SVN,2015,12.74
Spain,ESP,2018,12.72
Denmark,DNK,2000,12.67
Bulgaria,BGR,2018,12.65
France,FRA,2015,12.64
Germany,DEU,2010,12.64
Latvia,LVA,2015,12.64
European Union (27),,2000,12.638515
Slovenia,SVN,2000,12.6
Finland,FIN,2010,12.59
Andorra,AND,2005,12.55
Nigeria,NGA,2005,12.51
Portugal,PRT,2010,12.51
Nigeria,NGA,2000,12.5
Belgium,BEL,2000,12.49
Switzerland,CHE,2000,12.49
Ireland,IRL,2015,12.47
Russia,RUS,2015,12.47
Slovakia,SVK,2000,12.47
Ukraine,UKR,2000,12.46
Croatia,HRV,2000,12.45
Cyprus,CYP,2005,12.43
Spain,ESP,2000,12.43
France,FRA,2010,12.4
Australia,AUS,2010,12.39
Estonia,EST,2010,12.39
Estonia,EST,2015,12.39
Bulgaria,BGR,2015,12.34
France,FRA,2018,12.33
South Korea,KOR,2000,12.31
European Union (27),,2005,12.301532
Slovenia,SVN,2005,12.3
Denmark,DNK,2005,12.29
Austria,AUT,2010,12.2
Hungary,HUN,2010,12.09
Australia,AUS,2005,12.08
Austria,AUT,2015,12.07
Ireland,IRL,2010,12.07
Europe and Central Asia (WB),,2000,12.0643015
Slovakia,SVK,2005,12.06
United Kingdom,GBR,2010,12.06
Europe and Central Asia (WB),,2005,12.05799
Burkina Faso,BFA,2018,12.03
Portugal,PRT,2018,12.03
Ukraine,UKR,2005,12.01
Belarus,BLR,2015,12
Slovakia,SVK,2010,12
Austria,AUT,2018,11.96
Latvia,LVA,2005,11.96
Slovenia,SVN,2018,11.9
Portugal,PRT,2015,11.88
Moldova,MDA,2015,11.87
Burkina Faso,BFA,2015,11.83
Belgium,BEL,2015,11.82
Bulgaria,BGR,2000,11.8
Saint Lucia,LCA,2000,11.8
Romania,ROU,2018,11.74
Australia,AUS,2000,11.72
Nigeria,NGA,2010,11.72
Poland,POL,2018,11.71
Finland,FIN,2000,11.69
Serbia,SRB,2010,11.69
Romania,ROU,2015,11.64
Switzerland,CHE,2005,11.64
Latvia,LVA,2010,11.63
Poland,POL,2015,11.63
Saint Lucia,LCA,2005,11.62
Hungary,HUN,2015,11.6
Switzerland,CHE,2015,11.58
Slovenia,SVN,2010,11.54
Saint Kitts and Nevis,KNA,2005,11.53
Slovakia,SVK,2015,11.53
Switzerland,CHE,2018,11.53
Montenegro,MNE,2018,11.47
Belarus,BLR,2018,11.45
United Kingdom,GBR,2018,11.45
European Union (27),,2018,11.444471
Moldova,MDA,2018,11.43
Bulgaria,BGR,2005,11.42
Switzerland,CHE,2010,11.41
Belgium,BEL,2010,11.4
European Union (27),,2015,11.377329
Cyprus,CYP,2010,11.35
Hungary,HUN,2018,11.35
Bulgaria,BGR,2010,11.32
Dominica,DMA,2015,11.32
New Zealand,NZL,2010,11.32
Spain,ESP,2015,11.32
Tanzania,TZA,2018,11.27
European Union (27),,2010,11.210668
Poland,POL,2010,11.21
United Kingdom,GBR,2015,11.21
Kyrgyzstan,KGZ,2005,11.19
Russia,RUS,2018,11.19
Dominica,DMA,2018,11.18
Finland,FIN,2015,11.18
Slovakia,SVK,2018,11.14
Andorra,AND,2010,11.11
Belgium,BEL,2018,11.08
Netherlands,NLD,2000,11.08
Tanzania,TZA,2015,11.05
Europe and Central Asia (WB),,2010,11.027514
Andorra,AND,2018,11.02
Andorra,AND,2015,11.01
Denmark,DNK,2010,11
Mongolia,MNG,2015,10.97
Montenegro,MNE,2015,10.92
New Zealand,NZL,2005,10.92
Cyprus,CYP,2000,10.86
Nigeria,NGA,2018,10.84
