Entity,Code,Year,"Other (at home) (USDA, 2018)","Food stores (at home) (USDA, 2018)","Liquor stores (at home) (USDA, 2018)","All other (away from home) (USDA, 2018)","Hotels & motels (away from home) (USDA, 2018)","Restaurants & bars (away from home) (USDA, 2018)"
United States,USA,1935,199000000,65000000,305000000,20000000,81000000,964000000
United States,USA,1936,220000000,95000000,435000000,24000000,97000000,1195000000
United States,USA,1937,235000000,113000000,504000000,28000000,109000000,1299000000
United States,USA,1938,227000000,111000000,479000000,26000000,98000000,1246000000
United States,USA,1939,237000000,122000000,517000000,28000000,103000000,1365000000
United States,USA,1940,244000000,131000000,602000000,30000000,113000000,1459000000
United States,USA,1941,271000000,151000000,758000000,37000000,124000000,1753000000
United States,USA,1942,311000000,194000000,1081000000,47000000,145000000,2176000000
United States,USA,1943,361000000,225000000,1395000000,60000000,194000000,2744000000
United States,USA,1944,393000000,252000000,1734000000,69000000,219000000,3144000000
United States,USA,1945,422000000,272000000,2070000000,79000000,236000000,3609000000
United States,USA,1946,472000000,368000000,2443000000,91000000,272000000,3984000000
United States,USA,1947,481000000,341000000,2540000000,96000000,274000000,4178000000
United States,USA,1948,484000000,475000000,2487000000,100000000,272000000,4172000000
United States,USA,1949,479000000,550000000,2359000000,110000000,258000000,4029000000
United States,USA,1950,487000000,569000000,2399000000,126000000,259000000,4028000000
United States,USA,1951,526000000,617000000,2646000000,152000000,272000000,4341000000
United States,USA,1952,545000000,668000000,2786000000,176000000,281000000,4442000000
United States,USA,1953,552000000,698000000,2830000000,196000000,282000000,4482000000
United States,USA,1954,562000000,685000000,2942000000,218000000,274000000,4454000000
United States,USA,1955,584000000,717000000,3060000000,226000000,290000000,4552000000
United States,USA,1956,616000000,756000000,3408000000,238000000,309000000,4753000000
United States,USA,1957,645000000,806000000,3642000000,252000000,325000000,4861000000
United States,USA,1958,656000000,868000000,3841000000,261000000,330000000,4910000000
United States,USA,1959,678000000,919000000,4056000000,289000000,356000000,5014000000
United States,USA,1960,690000000,966000000,4137000000,317000000,378000000,5039000000
United States,USA,1961,695000000,979000000,4120000000,337000000,395000000,4975000000
United States,USA,1962,714000000,1071000000,4494000000,365000000,427000000,5172000000
United States,USA,1963,725000000,1169000000,4665000000,385000000,458000000,5306000000
United States,USA,1964,761000000,1272000000,4958000000,408000000,493000000,5465000000
United States,USA,1965,809000000,1382000000,5247000000,440000000,541000000,5681000000
United States,USA,1966,864000000,1535000000,5676000000,487000000,593000000,5981000000
United States,USA,1967,904000000,1539000000,6005000000,551000000,623000000,6222000000
United States,USA,1968,955000000,1708000000,6576000000,587000000,667000000,6642000000
United States,USA,1969,987000000,1834000000,7034000000,624000000,691000000,6878000000
United States,USA,1970,1064000000,2110000000,7671000000,657000000,760000000,7652000000
United States,USA,1971,1102000000,2297000000,8506000000,678000000,849000000,8026000000
United States,USA,1972,1113000000,2702000000,8810000000,704000000,961000000,7911000000
United States,USA,1973,1254000000,3105000000,9236000000,757000000,1069000000,8747000000
United States,USA,1974,1355000000,3600000000,9948000000,778000000,1167000000,9371000000
United States,USA,1975,1519000000,4080000000,10681000000,887000000,1315000000,10324000000
United States,USA,1976,1717000000,4209000000,11170000000,947000000,1555000000,11088000000
United States,USA,1977,1946000000,4603000000,11686000000,1266000000,1713000000,11981000000
United States,USA,1978,2222000000,5211000000,12179000000,1303000000,2023000000,13342000000
United States,USA,1979,2480000000,5903000000,13528000000,1435000000,2306000000,15152000000
United States,USA,1980,2816000000,6995000000,14977000000,1484000000,2450000000,16722000000
United States,USA,1981,3141000000,7629000000,15648000000,1528000000,2751000000,17976000000
United States,USA,1982,3378000000,8147000000,15984000000,1488000000,2849000000,18371000000
United States,USA,1983,3878000000,8999000000,16818000000,1620000000,3051000000,19038000000
United States,USA,1984,4158000000,10132000000,15997000000,1691000000,3220000000,19863000000
United States,USA,1985,4152000000,10361000000,17058000000,1816000000,3371000000,20659000000
United States,USA,1986,5031000000,10755000000,17350000000,1935000000,3406000000,22291000000
United States,USA,1987,4156131205,9163846778,17283066684,2526948379,3108306600,23231745021
United States,USA,1988,4403821867,9435665464,17006547276,2802152261,3237450000,24227397739
United States,USA,1989,4913182963,10072625634,17291991347,3077000785,3214332800,24747666415
United States,USA,1990,5428097223,10843880411,18596774620,3429394988,3186337400,26528267612
United States,USA,1991,5800475486,10770193162,19122757118,3606178365,3059477000,27200344636
United States,USA,1992,6646594832,10699535453,18418356180,3823251391,3123964800,27726783809
United States,USA,1993,6801494919,11146229255,18370478923,3916588568,3111076500,28393334932
United States,USA,1994,6939585374,11734523777,18846158325,4010419732,3175214400,29227365868
United States,USA,1995,7134867367,12279825179,18849531370,4152358268,3187387200,30194254532
United States,USA,1996,7466793583,12953492590,19922445060,4270398684,3196968000,31378633316
United States,USA,1997,6758862070,12798000000,20864000000,4436414236,3490830000,33426755764
United States,USA,1998,6933660804,14138691206,21859001244,4741194867,5173326000,35688479133
United States,USA,1999,7438549666,15158642806,22724573198,5447076467,7042605000,38090318533
United States,USA,2000,8021616562,15846527334,24350158007,5467727777,6404071800,41533200423
United States,USA,2001,8214192568,16888255899,25167913043,5296866792,4941560000,44173573208
United States,USA,2002,10160797513,17356125337,27951150078,5861977735,4319700000,47180322265
United States,USA,2003,11074230632,17519738376,28623239777,6584821263,4333322400,49067856337
United States,USA,2004,11904778979,18056339260,30613457893,7364920981,4574637600,49943441419
United States,USA,2005,12809094183,18602961635,32103378099,7601576339,4706761000,51247662661
United States,USA,2006,13486442103,18967656105,34599541142,9083102345,4769723200,53570174455
United States,USA,2007,13406220985,19544982269,36791453462,10060603412,4729968000,53201428588
United States,USA,2008,20677005594,20336378880,38017899574,10235617215,4821849000,54826533785
United States,USA,2009,18979899808,20297321044,39025302989,9997341997,4668705000,53988953003
United States,USA,2010,20325518116,20728382105,40244994481,10182515190,4721220000,55153264810
United States,USA,2011,22398210076,21802641216,40828786690,10448883481,4774329000,57935787519
United States,USA,2012,23646140574,22462872896,43336680824,10946909055,4882059000,61508031945
United States,USA,2013,22446796526,22921754302,44994457708,11414860599,4898664000,62861475401
United States,USA,2014,21786339087,23523037324,47523580650,11482940900,4925664000,66860395100
